"path","provenance_class","classification_basis","sha256"
".env.example","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","42418435cec1f13759fab99fc786c07b161f3413289a626ccdc3d3cd427c2d08"
".gitignore","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","f9279a60a6f51e9f5844336a37a5a7161e0dda5f30bb4bb60ca823410e3c0b36"
"analyze_prefix_similarity_cpu.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","b06f1b1402625bb0ecb1a12d1ec37c9ac1fe79471d609da25674abcd59174d98"
"analyze_prefix_state_trajectory_cpu.slurm","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","be2fb8d0be62e03fa08d8ea820772e320b1be03381e3a02300944e6c08356ccb"
"AUTHORS.md","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship","810f805202d5150327e71d81ea0dc661ef343cc7f774b9f7859ccc8f2b7c03a1"
"ckpt/alfworld/gpt5.5_skill.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","d6753d60c66d2667923e5e6122e4a08ebb55a1416f201aebeea243256af2709f"
"ckpt/docvqa/gpt5.5_skill.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","948f3b074a28a85d9ca4f36b5579297278e839237a25c46d43ff57911c7eecd3"
"ckpt/livemath/gpt5.5_skill.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","dc0fa753f722acc3c8bed9bd5a7bcbe00d0d1464f9c21681617e6c8bbd4ae5b7"
"ckpt/officeqa/gpt5.5_skill.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","b46bf0dd2b2481a2d7cfa3ef422474404c3d387303f7bd85c51849accf6fded4"
"ckpt/README.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","8c5c4a22016744f591195e66c3fd8126c93e492709473f0bb8d146168df24dfd"
"ckpt/searchqa/gpt5.5_skill.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","436a8dd9a309791069b45ad444256f2ec83d6a7d7e21fcb8b1b8a2f40c1b25ae"
"ckpt/spreadsheetbench/gpt5.5_skill.md","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","a4c36f2a6c779f366b434da33ecdf71f2274de1ef01560fb330995649891181c"
"CODE_PROVENANCE.csv","local_addition","Absent from upstream/main; filesystem evidence does not by itself prove personal authorship",""
"configs/_base_/default.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","bb50027126efdc59fd6233c875066ec0ce9ec9c3da7771c6f61998bb8c8b6e7d"
"configs/alfworld/default.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","0d855772c327bb237744a070fff23562ef16437555b60b277d66391e98c26810"
"configs/alfworld/lora.yaml","upstream_unchanged","Byte-equivalent to upstream/main in the current working tree","85f8bb8772609feb6cb473f00185648c9ebd3a315ed85fafc680867cc327ae2f"
